Candidate,Constituency,Criminal Case,Education,Assets,Liabilities,Party,Total Assets
Sureshkumar Jivanbhai Gamit,MANDVI (ST),0,8th Pass,1105397, 0,IND,"Rs 11,05,397 ~ 11 Lacs+"
Anandbhai Mohanbhai Chaudhari,MANDVI (ST),0,Others,6116335, 0,INC,"Rs 61,16,335 ~ 61 Lacs+"
Kunvarjibhai Narsinhbhai Halpati,MANDVI (ST),0,Graduate Professional,10780874, 2749374,BJP,"Rs 1,07,80,874 ~ 1 Crore+"
Ashokbhai Chhotubhai Chaudhary,MANDVI (ST),0,Graduate,16268661, 3000000,BSP,"Rs 1,62,68,661 ~ 1 Crore+"
Hanshaben Vijaykumar Makadiya,MANGROL,0,Graduate,345000, 0,BSP,"Rs 3,45,000 ~ 3 Lacs+"
Hamirbhai Lakhmanbhai Dhama,MANGROL,0,8th Pass,555000, 0,IND,"Rs 5,55,000 ~ 5 Lacs+"
Babubhai Kalabhai Vaja,MANGROL,0,10th Pass,8285924, 428200,INC,"Rs 82,85,924 ~ 82 Lacs+"
Piyush Parmar,MANGROL,3,Graduate,8522178, 3115341,AAP,"Rs 85,22,178 ~ 85 Lacs+"
Kargatiya Bhagvanjibhai Lakhabhai,MANGROL,0,10th Pass,12550000, 0,BJP,"Rs 1,25,50,000 ~ 1 Crore+"
Sulemanbhai Mohmadbhai Patel,MANGROL,1,Graduate,56185000, 12700000,All India Majlis-E-Ittehadul Muslimeen,"Rs 5,61,85,000 ~ 5 Crore+"
Sahdev Vasava (Advocate),MANGROL (ST),0,Graduate Professional,55700, 80000,BSP,"Rs 55,700 ~ 55 Thou+"
Vasava Subhashbhai Kanjibhai,MANGROL (ST),0,8th Pass,150000, 0,Bhartiya Tribal Party,"Rs 1,50,000 ~ 1 Lacs+"
Snehalkumar Ramsing Vasava,MANGROL (ST),0,12th Pass,1961808, 830000,AAP,"Rs 19,61,808 ~ 19 Lacs+"
Anilbhai Sumanbhai Chaudhari,MANGROL (ST),0,Graduate,8286886, 1802585,INC,"Rs 82,86,886 ~ 82 Lacs+"
Ganpatsinh Vestabhai Vasava,MANGROL (ST),0,Graduate,84506704, 41767352,BJP,"Rs 8,45,06,704 ~ 8 Crore+"
Ashvinkumar Haribhai Tundiya,MORBI,0,10th Pass,167000, 0,IND,"Rs 1,67,000 ~ 1 Lacs+"
Jadav Maheshbhai Dhanjibhai,MORBI,0,5th Pass,293000, 0,IND,"Rs 2,93,000 ~ 2 Lacs+"
Madhu Nirupaben Natavarlal,MORBI,0,Graduate Professional,499000, 0,IND,"Rs 4,99,000 ~ 4 Lacs+"
Shahmadar Daudsha Rahemansha,MORBI,0,8th Pass,515841, 0,IND,"Rs 5,15,841 ~ 5 Lacs+"
Arifkhan Mahmadhusen Khoram,MORBI,0,8th Pass,541100, 0,IND,"Rs 5,41,100 ~ 5 Lacs+"
Gulam Hanifbhai Movar,MORBI,0,Literate,545230, 0,IND,"Rs 5,45,230 ~ 5 Lacs+"
Ekbalbhai Hushenbhai Katiya,MORBI,0,Literate,1158400, 167086,IND,"Rs 11,58,400 ~ 11 Lacs+"
Jeda Akbar Husen,MORBI,0,8th Pass,1223082, 0,IND,"Rs 12,23,082 ~ 12 Lacs+"
Gopal Vinubhai Sitapara,MORBI,0,10th Pass,1359500, 348000,IND,"Rs 13,59,500 ~ 13 Lacs+"
Hasan Alubhai Movar,MORBI,0,Literate,1380000, 0,IND,"Rs 13,80,000 ~ 13 Lacs+"
Kasambhai Hajibhai Sumara,MORBI,0,12th Pass,1440000, 0,BSP,"Rs 14,40,000 ~ 14 Lacs+"
Balvantbhai Nathubhai Shekhva,MORBI,0,Literate,1702000, 0,IND,"Rs 17,02,000 ~ 17 Lacs+"
Vivek Jayantilal Mirani Alias(Bablubhai),MORBI,1,12th Pass,4220000, 0,IND,"Rs 42,20,000 ~ 42 Lacs+"
Siraj Amirali Popatiya,MORBI,0,10th Pass,4656800, 1100000,IND,"Rs 46,56,800 ~ 46 Lacs+"
Pankaj Kantilal Ransariya,MORBI,1,12th Pass,35267065, 13733537,AAP,"Rs 3,52,67,065 ~ 3 Crore+"
Amrutiya Kantilal Shivlal,MORBI,0,12th Pass,92358032, 33286579,BJP,"Rs 9,23,58,032 ~ 9 Crore+"
Patel Jayantilal Jerajbhai,MORBI,0,Graduate,231976432, 23450716,INC,"Rs 23,19,76,432 ~ 23 Crore+"
Dr. Prafulbhai Devjibhai Vasava,NANDOD (ST),4,Doctorate,4204144, 2515000,AAP,"Rs 42,04,144 ~ 42 Lacs+"
Maheshbhai Saradbhai Vasava (Manabhai),NANDOD (ST),0,12th Pass,9000000, 0,Bhartiya Tribal Party,"Rs 90,00,000 ~ 90 Lacs+"
Hareshbhai Jayantibhai Vasava,NANDOD (ST),1,Post Graduate,9860000, 0,INC,"Rs 98,60,000 ~ 98 Lacs+"
Harshadbhai Chunilal Vasava,NANDOD (ST),0,Graduate,33933000, 8684503,IND,"Rs 3,39,33,000 ~ 3 Crore+"
Dr. Darshna Chandubhai Deshmukh(Vasava),NANDOD (ST),0,Post Graduate,36953667, 4180000,BJP,"Rs 3,69,53,667 ~ 3 Crore+"
Mahendrakumar Solanki (Rakeshkumar),NAVSARI,0,8th Pass,130000, 0,BSP,"Rs 1,30,000 ~ 1 Lacs+"
Govindbhai Laxmanbhai Rathod,NAVSARI,0,5th Pass,2795000, 195000,IND,"Rs 27,95,000 ~ 27 Lacs+"
Upeshkumar Mohanbhai Patel,NAVSARI,0,12th Pass,3706431, 2555501,AAP,"Rs 37,06,431 ~ 37 Lacs+"
Kalpanaben Percy Munshi,NAVSARI,0,Others,14841019, 190706,IND,"Rs 1,48,41,019 ~ 1 Crore+"
Desai Rakesh Gunvantbhai,NAVSARI,0,Others,18946056, 1790784,BJP,"Rs 1,89,46,056 ~ 1 Crore+"
Dipak Barot,NAVSARI,1,10th Pass,85873743, 4263008,INC,"Rs 8,58,73,743 ~ 8 Crore+"
Vinabhai Bablabhai Gamit,NIZAR (ST),0,Literate,217200, 0,IND,"Rs 2,17,200 ~ 2 Lacs+"
Manishbhai Prakashbhai Vasava,NIZAR (ST),0,Post Graduate,561898, 0,IND,"Rs 5,61,898 ~ 5 Lacs+"
Samirbhai Janakbhai Naik,NIZAR (ST),0,10th Pass,1377840, 0,Bhartiya Tribal Party,"Rs 13,77,840 ~ 13 Lacs+"
Dr.Jayrambhai Chemabhai Gamit,NIZAR (ST),0,Doctorate,4696210, 143261,BJP,"Rs 46,96,210 ~ 46 Lacs+"
Arvindbhai Singabhai Gamit,NIZAR (ST),1,10th Pass,5611000, 797000,AAP,"Rs 56,11,000 ~ 56 Lacs+"
Sunilbhai Ratanjibhai Gamit,NIZAR (ST),0,Graduate,8629086, 2586585,INC,"Rs 86,29,086 ~ 86 Lacs+"
Dipakbhai Pravinbhai Rathod,OLPAD,1,10th Pass,85000, 0,CPI(M),"Rs 85,000 ~ 85 Thou+"
Bhaliya Khimjibhai Hakabhai,OLPAD,0,5th Pass,118195, 0,BSP,"Rs 1,18,195 ~ 1 Lacs+"
Shehanazbibi Khalidbhai Shekh,OLPAD,0,8th Pass,436000, 0,IND,"Rs 4,36,000 ~ 4 Lacs+"
Khalifa Abdulrazak Ajij,OLPAD,0,5th Pass,672157, 0,IND,"Rs 6,72,157 ~ 6 Lacs+"
Malek Asifbhai Yusufbhai,OLPAD,0,Literate,711600, 0,IND,"Rs 7,11,600 ~ 7 Lacs+"
Natvarbhai Dahyabhai Mahyavanshi,OLPAD,0,Graduate Professional,885000, 0,IND,"Rs 8,85,000 ~ 8 Lacs+"
Sajid Mehmud Kola,OLPAD,0,Illiterate,1063000, 0,IND,"Rs 10,63,000 ~ 10 Lacs+"
Dharmikbhai Nanubhai Malaviya,OLPAD,7,12th Pass,1065204, 0,AAP,"Rs 10,65,204 ~ 10 Lacs+"
Patel Sarfaraj Abdulla,OLPAD,0,Others,1087332, 340000,IND,"Rs 10,87,332 ~ 10 Lacs+"
Vijaybhai Rameshbhai Vasava,OLPAD,0,5th Pass,1171367, 0,Bhartiya Tribal Party,"Rs 11,71,367 ~ 11 Lacs+"
Jigneshkumar Manjibhai Dhameliya,OLPAD,0,10th Pass,1774658, 12480,IND,"Rs 17,74,658 ~ 17 Lacs+"
Dholariya Viral Govindbhai,OLPAD,0,Graduate,4340005, 0,IND,"Rs 43,40,005 ~ 43 Lacs+"
Dhameliya Dineshbhai Chhaganbhai,OLPAD,0,Graduate Professional,15645622, 3615514,Real Democracy Party,"Rs 1,56,45,622 ~ 1 Crore+"
Darshankumar Amrutlal Nayak,OLPAD,0,Graduate Professional,39045530, 0,INC,"Rs 3,90,45,530 ~ 3 Crore+"
Mukeshbhai Zinabhai Patel,OLPAD,0,12th Pass,49145155, 18909886,BJP,"Rs 4,91,45,155 ~ 4 Crore+"
Ibrahimbhai Hasanali Saiyad,PALITANA,0,10th Pass,180400, 0,IND,"Rs 1,80,400 ~ 1 Lacs+"
Gohil Sanjaybhai Valajibhai,PALITANA,0,5th Pass,365000, 372370,Vyavastha Parivartan Party,"Rs 3,65,000 ~ 3 Lacs+"
Parmar Nareshbhai Ravjibhai,PALITANA,0,8th Pass,380000, 0,BSP,"Rs 3,80,000 ~ 3 Lacs+"
Narshibhai Ukabhai Chauhan,PALITANA,0,Literate,554500, 0,IND,"Rs 5,54,500 ~ 5 Lacs+"
Bhikhabhai Ravajibhai Baraiya,PALITANA,0,12th Pass,8972311, 0,BJP,"Rs 89,72,311 ~ 89 Lacs+"
Rathod Pravinbhai Jinabhai,PALITANA,0,10th Pass,12969109, 458469,INC,"Rs 1,29,69,109 ~ 1 Crore+"
Kheni Jinabhai Parshottambhai (Dr.Z.P. Kheni),PALITANA,0,Graduate Professional,89028010, 1911372,AAP,"Rs 8,90,28,010 ~ 8 Crore+"
Sanjaybhai Parsottambhai Parmar,PARDI,0,12th Pass,110000, 0,Rashtriya Samaj Paksha,"Rs 1,10,000 ~ 1 Lacs+"
Patel Navinkumar Shankarbhai,PARDI,0,Graduate Professional,745000, 0,IND,"Rs 7,45,000 ~ 7 Lacs+"
Ketanbhai Kishorbhai Patel,PARDI,1,10th Pass,2282810, 1301396,AAP,"Rs 22,82,810 ~ 22 Lacs+"
Jayshreeben Patel,PARDI,0,12th Pass,4827838, 980000,INC,"Rs 48,27,838 ~ 48 Lacs+"
Pravinkumar Bholaprasad Singh,PARDI,0,10th Pass,6885000, 300000,IND,"Rs 68,85,000 ~ 68 Lacs+"
Kanubhai Mohanlal Desai,PARDI,0,Graduate Professional,109351751, 0,BJP,"Rs 10,93,51,751 ~ 10 Crore+"
Odedara Ranmalbhai Rambhai,PORBANDAR,0,10th Pass,50000, 0,IND,"Rs 50,000 ~ 50 Thou+"
Mukesh Ramji Panjari,PORBANDAR,0,10th Pass,60000, 0,IND,"Rs 60,000 ~ 60 Thou+"
Jivan Jungi,PORBANDAR,0,10th Pass,140000, 0,AAP,"Rs 1,40,000 ~ 1 Lacs+"
Odedara Lakhanshi Deva,PORBANDAR,1,Graduate,250000, 0,IND,"Rs 2,50,000 ~ 2 Lacs+"
Jethabhai Bhanabhai Chavda,PORBANDAR,2,8th Pass,340000, 72000,Bahujan Republican Socialist Party,"Rs 3,40,000 ~ 3 Lacs+"
Prakashbhai Vallabhdas Unadkat,PORBANDAR,0,10th Pass,353000, 0,IND,"Rs 3,53,000 ~ 3 Lacs+"
Rajesh Gaurishankar Pandya,PORBANDAR,0,10th Pass,937448, 430000,Right to Recall Party,"Rs 9,37,448 ~ 9 Lacs+"
Manoj Babu Buddhecha,PORBANDAR,0,5th Pass,990000, 0,IND,"Rs 9,90,000 ~ 9 Lacs+"
Rameshbhai Rajabhai Daki,PORBANDAR,0,Others,1739000, 131400,SP,"Rs 17,39,000 ~ 17 Lacs+"
Arjunbhai Devabhai Modhwadia,PORBANDAR,1,Graduate Professional,39691720, 733064,INC,"Rs 3,96,91,720 ~ 3 Crore+"
Babubhai Bhimabhai Bokhiriya,PORBANDAR,0,Graduate,268241185, 34830290,BJP,"Rs 26,82,41,185 ~ 26 Crore+"
Sagthiya Sureshkumar Govindbhai,RAJKOT EAST,0,10th Pass,319000, 0,CPI,"Rs 3,19,000 ~ 3 Lacs+"
Parghi Surajbhai Nanjibhai,RAJKOT EAST,0,Others,366855, 0,IND,"Rs 3,66,855 ~ 3 Lacs+"
Ranchhodbhai Maganbhai Ughreja,RAJKOT EAST,0,Literate,981452, 0,IND,"Rs 9,81,452 ~ 9 Lacs+"
Rahul Bhuva,RAJKOT EAST,1,Post Graduate,2418086, 0,AAP,"Rs 24,18,086 ~ 24 Lacs+"
Lunagariya Babulal Parshotambhai,RAJKOT EAST,0,8th Pass,11803783, 0,IND,"Rs 1,18,03,783 ~ 1 Crore+"
Rajesh Samsuddin Gilani,RAJKOT EAST,0,5th Pass,93728592, 48000000,IND,"Rs 9,37,28,592 ~ 9 Crore+"
Uday Kangad,RAJKOT EAST,1,8th Pass,97941686, 15989530,BJP,"Rs 9,79,41,686 ~ 9 Crore+"
Indranil Rajguru,RAJKOT EAST,1,12th Pass,1629289224, 760244890,INC,"Rs 1,62,92,89,224 ~ 162 Crore+"
Rahul Chavda,RAJKOT RURAL (SC),0,8th Pass,25000, 62000,BSP,"Rs 25,000 ~ 25 Thou+"
Solanki Ramjibhai Khimabhai,RAJKOT RURAL (SC),0,Graduate,30000, 0,IND,"Rs 30,000 ~ 30 Thou+"
Dengada Sanjay Pravinbhai,RAJKOT RURAL (SC),0,10th Pass,57000, 0,IND,"Rs 57,000 ~ 57 Thou+"
Bharatbhai Mavjibhai Chavda,RAJKOT RURAL (SC),0,5th Pass,341308, 0,IND,"Rs 3,41,308 ~ 3 Lacs+"
Rathod Sukhdevbhai Mohanbhai,RAJKOT RURAL (SC),0,10th Pass,700000, 0,IND,"Rs 7,00,000 ~ 7 Lacs+"
Babubhai Bhalabhai Babariya,RAJKOT RURAL (SC),0,12th Pass,1015000, 0,IND,"Rs 10,15,000 ~ 10 Lacs+"
Makwana Ranjitbhai Girdharbhai,RAJKOT RURAL (SC),0,10th Pass,3100000, 583810,Vyavastha Parivartan Party,"Rs 31,00,000 ~ 31 Lacs+"
Babubhai Virabhai Parmar,RAJKOT RURAL (SC),0,8th Pass,9906473, 0,IND,"Rs 99,06,473 ~ 99 Lacs+"
Bhanuben Manoharbhai Babariya,RAJKOT RURAL (SC),0,Graduate,27989092, 1602000,BJP,"Rs 2,79,89,092 ~ 2 Crore+"
Bathwar Sureshkumar Karshanbhai,RAJKOT RURAL (SC),0,Graduate Professional,30722894, 8335015,INC,"Rs 3,07,22,894 ~ 3 Crore+"
Vashrambhai Sagathiya,RAJKOT RURAL (SC),2,Graduate,57376886, 1069232,AAP,"Rs 5,73,76,886 ~ 5 Crore+"
Pravinbhai Meghajibhai Dengada,RAJKOT SOUTH,4,Illiterate,62000, 0,IND,"Rs 62,000 ~ 62 Thou+"
Rakesh Patel,RAJKOT SOUTH,0,10th Pass,1316139, 0,IND,"Rs 13,16,139 ~ 13 Lacs+"
Bhumika Pareshbhai Patel,RAJKOT SOUTH,1,Graduate Professional,1755000, 0,IND,"Rs 17,55,000 ~ 17 Lacs+"
Amardas Desani,RAJKOT SOUTH,1,Post Graduate,5777081, 0,IND,"Rs 57,77,081 ~ 57 Lacs+"
Parekh Punitaben Hasmukhbhai,RAJKOT SOUTH,1,5th Pass,28658680, 0,IND,"Rs 2,86,58,680 ~ 2 Crore+"
Shivlal Barasia,RAJKOT SOUTH,0,12th Pass,84412790, 19016376,AAP,"Rs 8,44,12,790 ~ 8 Crore+"
Hitesh Maganbhai Vora,RAJKOT SOUTH,0,10th Pass,134872435, 119070530,INC,"Rs 13,48,72,435 ~ 13 Crore+"
Rameshbhai Virjibhai Tilala,RAJKOT SOUTH,0,5th Pass,1757899705, 86587916,BJP,"Rs 1,75,78,99,705 ~ 175 Crore+"
Bhupendra Bhavanbhai Patoliya,RAJKOT WEST,0,Graduate,, 0,IND,Nil
Mahajan Narendrabhai,RAJKOT WEST,0,8th Pass,19000, 0,IND,"Rs 19,000 ~ 19 Thou+"
Kirtikumar Bavanjibhai Marvaniya,RAJKOT WEST,1,12th Pass,30000, 0,IND,"Rs 30,000 ~ 30 Thou+"
Dengada Pravinbhai Meghjibhai,RAJKOT WEST,4,Illiterate,60000, 0,IND,"Rs 60,000 ~ 60 Thou+"
Prashant Chimanbhai Maru,RAJKOT WEST,1,8th Pass,203600, 40000,IND,"Rs 2,03,600 ~ 2 Lacs+"
Prafulaben R. Shiyaliya,RAJKOT WEST,0,5th Pass,280000, 0,Log Party,"Rs 2,80,000 ~ 2 Lacs+"
Belim Sikandar Husenbhai,RAJKOT WEST,0,8th Pass,1146820, 215000,IND,"Rs 11,46,820 ~ 11 Lacs+"
Vegada Ramjibhai Govindbhai,RAJKOT WEST,0,12th Pass,3045000, 0,IND,"Rs 30,45,000 ~ 30 Lacs+"
Chamanbhai Savsani,RAJKOT WEST,0,8th Pass,4175000, 560865,BSP,"Rs 41,75,000 ~ 41 Lacs+"
Kalariya Mansukhbhai Jadavbhai,RAJKOT WEST,0,Graduate,12504637, 1766707,INC,"Rs 1,25,04,637 ~ 1 Crore+"
Mehul Nathwani,RAJKOT WEST,0,10th Pass,13402378, 4500000,IND,"Rs 1,34,02,378 ~ 1 Crore+"
Dineshkumar Mohanbhai Joshi,RAJKOT WEST,0,8th Pass,47067811, 21146262,AAP,"Rs 4,70,67,811 ~ 4 Crore+"
Dr. Darshita Shah,RAJKOT WEST,0,Post Graduate,100509572, 9004530,BJP,"Rs 10,05,09,572 ~ 10 Crore+"
Bharatkumar Baldaniya,RAJULA,0,12th Pass,26000, 0,AAP,"Rs 26,000 ~ 26 Thou+"
Muktaben Narendrabhai Parmar,RAJULA,0,8th Pass,160630, 0,IND,"Rs 1,60,630 ~ 1 Lacs+"
Puspaben Kamleshbhai Parmar,RAJULA,0,5th Pass,204280, 0,IND,"Rs 2,04,280 ~ 2 Lacs+"
Shwetaben Budhabhai Vaghela,RAJULA,0,Literate,225313, 0,IND,"Rs 2,25,313 ~ 2 Lacs+"
Vijyaben Girishbhai Parmar,RAJULA,0,Illiterate,242202, 0,IND,"Rs 2,42,202 ~ 2 Lacs+"
Gitaben Bharatkumar Parmar,RAJULA,0,8th Pass,264000, 0,IND,"Rs 2,64,000 ~ 2 Lacs+"
Vagh Harsurbhai Valerabhai,RAJULA,0,5th Pass,405000, 0,IND,"Rs 4,05,000 ~ 4 Lacs+"
Champaben Narshibhai Rathod,RAJULA,0,Illiterate,446195, 0,IND,"Rs 4,46,195 ~ 4 Lacs+"
Vagh Shivabhai Bhanabhai,RAJULA,0,5th Pass,655000, 0,IND,"Rs 6,55,000 ~ 6 Lacs+"
Rajeshbhai Natubhai Joshi,RAJULA,0,10th Pass,1044000, 0,IND,"Rs 10,44,000 ~ 10 Lacs+"
Champubhai Dhakhada,RAJULA,1,10th Pass,1390000, 0,Gujarat Nav Nirman Sena,"Rs 13,90,000 ~ 13 Lacs+"
Gaha Majidbhai,RAJULA,0,10th Pass,4373005, 200000,SDPI,"Rs 43,73,005 ~ 43 Lacs+"
Karanbhai Baraiya,RAJULA,1,Literate,24110643, 2996990,IND,"Rs 2,41,10,643 ~ 2 Crore+"
Ambarishkumar Jivabhai Der,RAJULA,1,Graduate,111675653, 4393414,INC,"Rs 11,16,75,653 ~ 11 Crore+"
Hirabhai Odhavjibhai Solanki,RAJULA,1,10th Pass,530573482, 53557367,BJP,"Rs 53,05,73,482 ~ 53 Crore+"
Navinchandra Manji Josarfal,RAPAR,0,10th Pass,244000, 0,IND,"Rs 2,44,000 ~ 2 Lacs+"
Rajeshbhai Babubhai Dudasna,RAPAR,0,12th Pass,260000, 0,IND,"Rs 2,60,000 ~ 2 Lacs+"
Saiyad Hasamsha Umarsha,RAPAR,0,10th Pass,270562, 0,IND,"Rs 2,70,562 ~ 2 Lacs+"
Vaniya Tejabhai Gelabhai,RAPAR,0,Literate,292000, 0,IND,"Rs 2,92,000 ~ 2 Lacs+"
Rameshbhai Punjabhai Patni,RAPAR,0,Literate,351380, 0,IND,"Rs 3,51,380 ~ 3 Lacs+"
Rathod Ambabhai Mayajar,RAPAR,1,Literate,1210000, 0,IND,"Rs 12,10,000 ~ 12 Lacs+"
Amba Paravant Patel,RAPAR,0,8th Pass,1626500, 0,AAP,"Rs 16,26,500 ~ 16 Lacs+"
Mansukh Vajeram Makvana,RAPAR,1,Graduate,1925000, 600000,Gujarat Sarva Samaj Party,"Rs 19,25,000 ~ 19 Lacs+"
Goshwami Sanjaygiri Rameshgiri,RAPAR,1,5th Pass,2840400, 1763000,IND,"Rs 28,40,400 ~ 28 Lacs+"
Virendrasinh Bahadursinh Jadeja,RAPAR,0,8th Pass,45256151, 5078665,BJP,"Rs 4,52,56,151 ~ 4 Crore+"
Bhachubhai Dharamshi Aarethiya,RAPAR,2,10th Pass,974874784, 307501712,INC,"Rs 97,48,74,784 ~ 97 Crore+"
Makvana Bharatbhai Kalubhai,SAVARKUNDLA,0,Literate,110000, 0,Vyavastha Parivartan Party,"Rs 1,10,000 ~ 1 Lacs+"
Saiyad Naushad Rahimmiya Kadri,SAVARKUNDLA,0,Graduate Professional,116500, 0,IND,"Rs 1,16,500 ~ 1 Lacs+"
Bharat Nakarani,SAVARKUNDLA,0,5th Pass,160750, 1938467,AAP,"Rs 1,60,750 ~ 1 Lacs+"
Yunusbhai Dolabhai Jadav,SAVARKUNDLA,0,5th Pass,160927, 0,IND,"Rs 1,60,927 ~ 1 Lacs+"
Kishor Bagada,SAVARKUNDLA,0,12th Pass,180000, 0,IND,"Rs 1,80,000 ~ 1 Lacs+"
