Candidate,Constituency,Criminal Case,Education,Assets,Liabilities,Party,Total Assets
Nanalal Kalidas Maheta,SAVARKUNDLA,0,8th Pass,228000, 0,Rashtriya Samaj Dal (R),"Rs 2,28,000 ~ 2 Lacs+"
Shabbirbhai Alarakhbhai Malek (Pintubhai Malek),SAVARKUNDLA,1,8th Pass,1230128, 0,IND,"Rs 12,30,128 ~ 12 Lacs+"
Geetaben Najabhai Maru,SAVARKUNDLA,0,12th Pass,1434000, 236700,BSP,"Rs 14,34,000 ~ 14 Lacs+"
Haku Vala,SAVARKUNDLA,1,8th Pass,1654000, 0,IND,"Rs 16,54,000 ~ 16 Lacs+"
Kaswala Mahesh,SAVARKUNDLA,0,Post Graduate,94500686, 27982598,BJP,"Rs 9,45,00,686 ~ 9 Crore+"
Pratap Dudhat,SAVARKUNDLA,0,10th Pass,189320699, 75369504,INC,"Rs 18,93,20,699 ~ 18 Crore+"
Irfanbhai Arahemanbhai Mugal,SOMNATH,0,8th Pass,135000, 0,IND,"Rs 1,35,000 ~ 1 Lacs+"
Asatarbhai Aganibhai Panja,SOMNATH,0,5th Pass,170000, 0,IND,"Rs 1,70,000 ~ 1 Lacs+"
Ambechada Hamirbhai Karasanbhai,SOMNATH,0,10th Pass,1259000, 195000,BSP,"Rs 12,59,000 ~ 12 Lacs+"
Motivarash Devendrabhai Dhanjibhai,SOMNATH,0,Graduate,20714000, 10580000,IND,"Rs 2,07,14,000 ~ 2 Crore+"
Chudasama Vimalbhai Kanabhai,SOMNATH,1,Graduate,22131827, 1263359,INC,"Rs 2,21,31,827 ~ 2 Crore+"
Ishwarlal Kanjibhai Soneri,SOMNATH,0,Graduate Professional,28545100, 18018000,IND,"Rs 2,85,45,100 ~ 2 Crore+"
Mansinghbhai Meramanbhai Parmar,SOMNATH,0,Graduate Professional,32698374, 15862387,BJP,"Rs 3,26,98,374 ~ 3 Crore+"
Shah Uday Navinbhai,SOMNATH,0,Graduate,35021001, 4700000,IND,"Rs 3,50,21,001 ~ 3 Crore+"
Jagmalbhai Jadavbhai Vala,SOMNATH,5,8th Pass,259064900, 221938858,AAP,"Rs 25,90,64,900 ~ 25 Crore+"
Samir Fakruddin Shaikh,SURAT EAST,0,8th Pass,6500, 0,IND,"Rs 6,500 ~ 6 Thou+"
Mohamad Faiz Mohamad Faruq Mulla,SURAT EAST,1,8th Pass,35000, 0,IND,"Rs 35,000 ~ 35 Thou+"
Patel Minhaj Yunusbhai,SURAT EAST,0,12th Pass,59220, 0,IND,"Rs 59,220 ~ 59 Thou+"
Nurubhai Shakurbhai Shaikh,SURAT EAST,0,Illiterate,65000, 0,IND,"Rs 65,000 ~ 65 Thou+"
Mansur Ahmad Chashmawala,SURAT EAST,0,8th Pass,100400, 0,SP,"Rs 1,00,400 ~ 1 Lacs+"
Pathan Riyazkhan Abdulkhan,SURAT EAST,0,8th Pass,128500, 0,IND,"Rs 1,28,500 ~ 1 Lacs+"
Karimkhan Rahimkhan Pathan,SURAT EAST,0,Literate,154500, 0,Bharatiya Bahujan Congress,"Rs 1,54,500 ~ 1 Lacs+"
Ibrahim Yakub Nagori,SURAT EAST,0,8th Pass,200000, 0,IND,"Rs 2,00,000 ~ 2 Lacs+"
Kher Paresh Anandbhai,SURAT EAST,0,8th Pass,225000, 30000,IND,"Rs 2,25,000 ~ 2 Lacs+"
Shahabudin Jainudin Malbari,SURAT EAST,2,Literate,238000, 0,IND,"Rs 2,38,000 ~ 2 Lacs+"
Abdulsamad Abdulmajid Munshi,SURAT EAST,0,12th Pass,628100, 0,BSP,"Rs 6,28,100 ~ 6 Lacs+"
Aslam Firozbhai Cyclewala,SURAT EAST,4,10th Pass,2355000, 0,INC,"Rs 23,55,000 ~ 23 Lacs+"
Wasim Ikbalbhai Khokar (Kureshi),SURAT EAST,0,8th Pass,19252662, 1761046,All India Majlis-E-Ittehadul Muslimeen,"Rs 1,92,52,662 ~ 1 Crore+"
Arvind Shantilal Rana,SURAT EAST,0,12th Pass,56333105, 0,BJP,"Rs 5,63,33,105 ~ 5 Crore+"
Aarjubi Rauf Shah,SURAT NORTH,0,10th Pass,15000, 0,IND,"Rs 15,000 ~ 15 Thou+"
Sirajkhan Pathan,SURAT NORTH,0,Illiterate,19000, 0,IND,"Rs 19,000 ~ 19 Thou+"
Mohammad Juned Memon,SURAT NORTH,0,Illiterate,24000, 0,IND,"Rs 24,000 ~ 24 Thou+"
Mohammad Imtiyaz Yusuf Bhai Shaikh,SURAT NORTH,0,5th Pass,130000, 48000,IND,"Rs 1,30,000 ~ 1 Lacs+"
Anish Ahmad Moriswala,SURAT NORTH,0,8th Pass,148600, 0,Log Party,"Rs 1,48,600 ~ 1 Lacs+"
Achchha Saeedbhai Yusufbhai,SURAT NORTH,0,5th Pass,607000, 975000,BSP,"Rs 6,07,000 ~ 6 Lacs+"
Mahendra Navadiya,SURAT NORTH,2,8th Pass,27322878, 0,AAP,"Rs 2,73,22,878 ~ 2 Crore+"
Ashok Patel (Adhevada),SURAT NORTH,1,8th Pass,28832716, 3600629,INC,"Rs 2,88,32,716 ~ 2 Crore+"
Kantibhai Himmatbhai Balar,SURAT NORTH,0,Literate,540715015, 34942639,BJP,"Rs 54,07,15,015 ~ 54 Crore+"
Vimal Raju Uttpure,SURAT WEST,0,5th Pass,41000, 0,BSP,"Rs 41,000 ~ 41 Thou+"
Mohamad Asfaq Iqbal Shekh,SURAT WEST,0,8th Pass,101832, 0,IND,"Rs 1,01,832 ~ 1 Lacs+"
Mohammad Umarji Khadakiwala,SURAT WEST,0,8th Pass,295000, 0,IND,"Rs 2,95,000 ~ 2 Lacs+"
Farzan Allarakha Meman,SURAT WEST,0,5th Pass,365000, 0,IND,"Rs 3,65,000 ~ 3 Lacs+"
Kamalshah Fakir,SURAT WEST,0,5th Pass,440000, 0,IND,"Rs 4,40,000 ~ 4 Lacs+"
Mohammed Zakir Nizamuddin Shaikh,SURAT WEST,0,5th Pass,1085000, 75000,SP,"Rs 10,85,000 ~ 10 Lacs+"
Sanjay R. Shah (Patva),SURAT WEST,0,8th Pass,3369292, 0,INC,"Rs 33,69,292 ~ 33 Lacs+"
Amish Narayanbhai Chunawala,SURAT WEST,0,Graduate,8435000, 206000,IND,"Rs 84,35,000 ~ 84 Lacs+"
Moxesh Rameshchandra Sanghavi,SURAT WEST,0,12th Pass,12888247, 9909259,AAP,"Rs 1,28,88,247 ~ 1 Crore+"
Purnesh Modi,SURAT WEST,0,Graduate Professional,19838118, 3401428,BJP,"Rs 1,98,38,118 ~ 1 Crore+"
Haribhai Rathod,TALAJA,0,10th Pass,62182, 0,IND,"Rs 62,182 ~ 62 Thou+"
Karamashi Jabucha,TALAJA,1,8th Pass,266350, 0,IND,"Rs 2,66,350 ~ 2 Lacs+"
Kachaliya Nazirbhai,TALAJA,0,5th Pass,915368, 0,IND,"Rs 9,15,368 ~ 9 Lacs+"
Anopsinh Gohil,TALAJA,0,Literate,940000, 90000,IND,"Rs 9,40,000 ~ 9 Lacs+"
Jayantibhai Makvana,TALAJA,0,8th Pass,1224500, 231660,IND,"Rs 12,24,500 ~ 12 Lacs+"
Chauhan Sunilbhai,TALAJA,3,10th Pass,1373400, 0,IND,"Rs 13,73,400 ~ 13 Lacs+"
Gautambhai Chauhan,TALAJA,0,10th Pass,4080522, 0,BJP,"Rs 40,80,522 ~ 40 Lacs+"
Kanubhai Baraiya,TALAJA,0,Graduate Professional,11084416, 430181,INC,"Rs 1,10,84,416 ~ 1 Crore+"
Jilubhai Bhammar,TALAJA,1,Graduate,11215096, 3625000,IND,"Rs 1,12,15,096 ~ 1 Crore+"
Laluben Chauhan,TALAJA,0,12th Pass,28739230, 2167253,AAP,"Rs 2,87,39,230 ~ 2 Crore+"
Rafai Mahmadsha Ikbalsha,TALALA,0,8th Pass,250000, 0,IND,"Rs 2,50,000 ~ 2 Lacs+"
Jayeshbhai Bhagvanbhai Kamaliya,TALALA,0,8th Pass,285000, 161000,IND,"Rs 2,85,000 ~ 2 Lacs+"
Daki Jaysukhlal Jadavbhai,TALALA,0,10th Pass,918000, 0,IND,"Rs 9,18,000 ~ 9 Lacs+"
Faijal Ibrahimbhai Dhamlot,TALALA,0,12th Pass,1220500, 0,IND,"Rs 12,20,500 ~ 12 Lacs+"
Parmar Faridaben Muradbhai,TALALA,0,8th Pass,1645000, 0,BSP,"Rs 16,45,000 ~ 16 Lacs+"
Chandpa Karshanbhai Govindbhai,TALALA,0,5th Pass,5040000, 435000,IND,"Rs 50,40,000 ~ 50 Lacs+"
Solanki Devendrabhai Kanjibhai,TALALA,0,Graduate Professional,5845748, 1760931,AAP,"Rs 58,45,748 ~ 58 Lacs+"
Abdulbhai Ismailbhai Majgul,TALALA,1,5th Pass,6335000, 60000,IND,"Rs 63,35,000 ~ 63 Lacs+"
Dodiya Mansingbhai Jesingbhai,TALALA,0,Graduate,74325533, 25443049,INC,"Rs 7,43,25,533 ~ 7 Crore+"
Bhagabhai Dhanabhai Barad,TALALA,0,Graduate,124739689, 8984847,BJP,"Rs 12,47,39,689 ~ 12 Crore+"
Parmar Shailesh Manubhai,TANKARA,0,12th Pass,175500, 0,Vyavastha Parivartan Party,"Rs 1,75,500 ~ 1 Lacs+"
Chanani Mushabhai Abharambhai,TANKARA,0,Illiterate,740000, 0,BSP,"Rs 7,40,000 ~ 7 Lacs+"
Sanjay Bhatasana (Patel),TANKARA,0,8th Pass,23895239, 22184611,AAP,"Rs 2,38,95,239 ~ 2 Crore+"
Durlabhjibhai Harakhjibhai Dethariya,TANKARA,0,10th Pass,53138832, 15127538,BJP,"Rs 5,31,38,832 ~ 5 Crore+"
Kagathara Lalitbhai,TANKARA,0,Graduate,101311764, 74639088,INC,"Rs 10,13,11,764 ~ 10 Crore+"
Faimida Yunus Shaikh,UDHNA,0,Illiterate,54000, 1772,IND,"Rs 54,000 ~ 54 Thou+"
Ejaz Aslambhai Mistry,UDHNA,0,8th Pass,77000, 0,IND,"Rs 77,000 ~ 77 Thou+"
Pathan Badshahkhan Altafkhan,UDHNA,0,12th Pass,225000, 0,Bharatiya Bahujan Congress,"Rs 2,25,000 ~ 2 Lacs+"
Ashaben Vinodbhai Mangale,UDHNA,0,5th Pass,245000, 0,IND,"Rs 2,45,000 ~ 2 Lacs+"
Shaikh Iqbal Hamid,UDHNA,1,Illiterate,298000, 0,IND,"Rs 2,98,000 ~ 2 Lacs+"
Mohammad Baldar Shah,UDHNA,1,5th Pass,800000, 0,IND,"Rs 8,00,000 ~ 8 Lacs+"
Mahendrabhai Ravanbhai Patil,UDHNA,1,Graduate,16814826, 1328054,AAP,"Rs 1,68,14,826 ~ 1 Crore+"
Suresh Mohan Sonvane,UDHNA,0,10th Pass,17409000, 800000,BSP,"Rs 1,74,09,000 ~ 1 Crore+"
Manubhai M. Patel (Fogwa),UDHNA,0,8th Pass,69179013, 251550,BJP,"Rs 6,91,79,013 ~ 6 Crore+"
Dhansukhbhai Bhagvatiprasad Rajput,UDHNA,0,12th Pass,163389912, 330000,INC,"Rs 16,33,89,912 ~ 16 Crore+"
Vaghat Ravindrabhai Somabhai,UMBERGAON (ST),0,10th Pass,30000, 0,Bhartiya Tribal Party,"Rs 30,000 ~ 30 Thou+"
Bochal Hasmukhbhai Ramanbhai,UMBERGAON (ST),0,10th Pass,687063, 0,CPI(M),"Rs 6,87,063 ~ 6 Lacs+"
Mohanbhai Raviyabhai Kohkeriya,UMBERGAON (ST),0,10th Pass,4611480, 30000,CPI(ML)(L),"Rs 46,11,480 ~ 46 Lacs+"
Ashokbhai Mohanbhai Patel,UMBERGAON (ST),0,12th Pass,6840411, 0,AAP,"Rs 68,40,411 ~ 68 Lacs+"
Nareshbhai Vajirbhai Vadvi,UMBERGAON (ST),0,10th Pass,15300000, 5300000,INC,"Rs 1,53,00,000 ~ 1 Crore+"
Patkar Ramanlal Nanubhai,UMBERGAON (ST),0,8th Pass,32866468, 1500000,BJP,"Rs 3,28,66,468 ~ 3 Crore+"
Panchabhai Damaniya,UNA,0,5th Pass,25000, 0,IND,"Rs 25,000 ~ 25 Thou+"
Nilesh Khorashi,UNA,4,Graduate,50000, 255000,IND,"Rs 50,000 ~ 50 Thou+"
Vansh Balubhai,UNA,0,5th Pass,160000, 0,IND,"Rs 1,60,000 ~ 1 Lacs+"
Shantilal Kidecha,UNA,0,8th Pass,1030000, 50000,Rashtriya Samaj Dal (R),"Rs 10,30,000 ~ 10 Lacs+"
Vala Bhanjibhai,UNA,0,8th Pass,1591000, 0,IND,"Rs 15,91,000 ~ 15 Lacs+"
Gohil Mansinh,UNA,0,12th Pass,3392743, 496000,IND,"Rs 33,92,743 ~ 33 Lacs+"
Ishwar Solanki,UNA,0,12th Pass,4509277, 835000,Right to Recall Party,"Rs 45,09,277 ~ 45 Lacs+"
Sejalben Khunt,UNA,0,Post Graduate,15032665, 1745111,AAP,"Rs 1,50,32,665 ~ 1 Crore+"
Vansh Punjabhai,UNA,0,12th Pass,37402796, 12396957,INC,"Rs 3,74,02,796 ~ 3 Crore+"
Kalubhai Rathod,UNA,1,12th Pass,66739093, 16452595,BJP,"Rs 6,67,39,093 ~ 6 Crore+"
Ilyas Yusuf Mansuri,VAGRA,1,5th Pass,61000, 0,Bhartiya Tribal Party,"Rs 61,000 ~ 61 Thou+"
Gohil Chetanbhai Chhaganbhai,VAGRA,0,12th Pass,2561000, 70000,IND,"Rs 25,61,000 ~ 25 Lacs+"
Ikbal Mohmedbhai Bhomli,VAGRA,0,5th Pass,2939000, 0,IND,"Rs 29,39,000 ~ 29 Lacs+"
Jayendrasinh Laxmansinh Raj,VAGRA,1,12th Pass,3010816, 0,AAP,"Rs 30,10,816 ~ 30 Lacs+"
Mubarak Ismail Dashu,VAGRA,2,8th Pass,3078332, 100000,IND,"Rs 30,78,332 ~ 30 Lacs+"
Kamleshbhai S. Madhiwala,VAGRA,0,Graduate Professional,4409949, 0,IND,"Rs 44,09,949 ~ 44 Lacs+"
Talati Mustak Ismail,VAGRA,2,8th Pass,7429202, 515000,IND,"Rs 74,29,202 ~ 74 Lacs+"
Suleman Patel,VAGRA,0,10th Pass,51243592, 5250000,INC,"Rs 5,12,43,592 ~ 5 Crore+"
Arunsinh Ajitsinh Rana,VAGRA,0,10th Pass,163450840, 6126066,BJP,"Rs 16,34,50,840 ~ 16 Crore+"
Kamleshbhai Bharatbhai Yogi,VALSAD,0,10th Pass,27200, 0,SP,"Rs 27,200 ~ 27 Thou+"
Rajeshbhai Thakorbhai Gohil,VALSAD,0,8th Pass,506000, 0,Bharatiya Republican Paksha,"Rs 5,06,000 ~ 5 Lacs+"
Rajeshbhai Mangubhai Patel,VALSAD,3,5th Pass,4016726, 432825,AAP,"Rs 40,16,726 ~ 40 Lacs+"
Hemantkumar Gopalbhai Tandel,VALSAD,0,Others,7768838, 0,Rashtriya Samaj Paksha,"Rs 77,68,838 ~ 77 Lacs+"
Mahesh Vinayakray Acharya,VALSAD,0,Graduate Professional,29683260, 300000,Praja Vijay Paksh,"Rs 2,96,83,260 ~ 2 Crore+"
Bharatbhai Kikubhai Patel,VALSAD,0,Post Graduate,31404528, 538758,BJP,"Rs 3,14,04,528 ~ 3 Crore+"
Kamalbhai Shantilal Patel,VALSAD,1,8th Pass,36299790, 7100000,INC,"Rs 3,62,99,790 ~ 3 Crore+"
Alpeshkumar Chhotubhai Patel,VANSDA (ST),0,10th Pass,25000, 0,Bahujan Republican Socialist Party,"Rs 25,000 ~ 25 Thou+"
Manakbhai Jatrubhai Sanakar,VANSDA (ST),0,10th Pass,30000, 0,BSP,"Rs 30,000 ~ 30 Thou+"
Pankajbhai Chandubhai Patel,VANSDA (ST),0,12th Pass,4435000, 1351003,AAP,"Rs 44,35,000 ~ 44 Lacs+"
Piyushkumar Kantilal Patel,VANSDA (ST),0,Post Graduate,16446679, 4486205,BJP,"Rs 1,64,46,679 ~ 1 Crore+"
Anantkumar Hasmukhbhai Patel,VANSDA (ST),5,Post Graduate,19821514, 1275000,INC,"Rs 1,98,21,514 ~ 1 Crore+"
Mahajan Pratibhaben Pankajbhai,VARACHHA ROAD,0,12th Pass,130000, 0,Sardar Vallabhbhai Patel Party,"Rs 1,30,000 ~ 1 Lacs+"
Pyarelal Bharti,VARACHHA ROAD,0,10th Pass,390480, 13332,BSP,"Rs 3,90,480 ~ 3 Lacs+"
Alpesh Kathiriya,VARACHHA ROAD,13,Graduate,1114216, 0,AAP,"Rs 11,14,216 ~ 11 Lacs+"
Prafulbhai Togadiya (Papanbhai),VARACHHA ROAD,0,5th Pass,12095170, 1337520,INC,"Rs 1,20,95,170 ~ 1 Crore+"
Kishor Kanani (Kumar),VARACHHA ROAD,0,8th Pass,13489258, 1025000,BJP,"Rs 1,34,89,258 ~ 1 Crore+"
Ikbalbhai Habibbhai Sama,VISAVADAR,0,10th Pass,208961, 0,IND,"Rs 2,08,961 ~ 2 Lacs+"
Vaghela Mansukhbhai Nathabhai,VISAVADAR,0,8th Pass,639000, 0,BSP,"Rs 6,39,000 ~ 6 Lacs+"
Bhupendrabhai Gandubhai Bhayani,VISAVADAR,1,10th Pass,6497524, 1365762,AAP,"Rs 64,97,524 ~ 64 Lacs+"
Harshadkumar Madhavjibhai Ribadiya,VISAVADAR,0,10th Pass,19957034, 2397376,BJP,"Rs 1,99,57,034 ~ 1 Crore+"
Karashanbhai Naranbhai Vadadoriya,VISAVADAR,0,Graduate,21784929, 1000000,INC,"Rs 2,17,84,929 ~ 2 Crore+"
Rakeshbhai Sureshbhai Gamit,VYARA (ST),0,8th Pass,1000, 0,BSP,"Rs 1,000 ~ 1 Thou+"
Jimikumar Rajenbhai Patel,VYARA (ST),0,Graduate Professional,56000, 0,IND,"Rs 56,000 ~ 56 Thou+"
Umedbhai Bhimsingbhai Gamit,VYARA (ST),0,8th Pass,240000, 0,IND,"Rs 2,40,000 ~ 2 Lacs+"
Sunilbhai Nagajibhai Gamit,VYARA (ST),0,Graduate Professional,1000000, 0,Bhartiya Tribal Party,"Rs 10,00,000 ~ 10 Lacs+"
Kokani Mohanbhai Dhedabhai,VYARA (ST),0,Post Graduate,1856590, 0,BJP,"Rs 18,56,590 ~ 18 Lacs+"
Bipinchandra Khushalbhai Chaudhari,VYARA (ST),0,Post Graduate,4972861, 6100000,AAP,"Rs 49,72,861 ~ 49 Lacs+"
Gamit Punabhai Dhedabhai,VYARA (ST),0,5th Pass,9660309, 2045827,INC,"Rs 96,60,309 ~ 96 Lacs+"
Satrotiya Vinodbhai Babubhai,WADHWAN,0,8th Pass,50000, 0,IND,"Rs 50,000 ~ 50 Thou+"
Satvara Chohan Jayesh Laljibhai Patrakar,WADHWAN,0,5th Pass,74500, 0,Vyavastha Parivartan Party,"Rs 74,500 ~ 74 Thou+"
Katiya Salimbhai Harunbhai,WADHWAN,0,Literate,148100, 0,IND,"Rs 1,48,100 ~ 1 Lacs+"
Chavda Nileshbhai Mansukhbhai,WADHWAN,0,10th Pass,167000, 0,Rashtra Nirman Party,"Rs 1,67,000 ~ 1 Lacs+"
Vaghela Tulshibhai Shivabhai,WADHWAN,0,10th Pass,1575000, 700000,IND,"Rs 15,75,000 ~ 15 Lacs+"
Bhavanbhai Devjibhai Vora,WADHWAN,0,Graduate,2122000, 0,IND,"Rs 21,22,000 ~ 21 Lacs+"
Parmar Balvantray Lagharbhai,WADHWAN,0,Graduate,2695894, 66000,IND,"Rs 26,95,894 ~ 26 Lacs+"
Solanki Pravinbhai Motibhai,WADHWAN,0,5th Pass,3065500, 25000,BSP,"Rs 30,65,500 ~ 30 Lacs+"
Jagdishbhai Prabhubhai Makwana,WADHWAN,0,Graduate,15222987, 1450000,BJP,"Rs 1,52,22,987 ~ 1 Crore+"
Gadhvi Tarunbhai Biharidan,WADHWAN,0,12th Pass,15493465, 0,INC,"Rs 1,54,93,465 ~ 1 Crore+"
Hitendrakumar Bhagvanajibhai Patel,WADHWAN,1,Others,23940000, 7000000,AAP,"Rs 2,39,40,000 ~ 2 Crore+"
Merambhai Karmanbhai Varu,WANKANER,0,8th Pass,47000, 0,IND,"Rs 47,000 ~ 47 Thou+"
Ajadia Prakash Naranbhai,WANKANER,0,Graduate Professional,65000, 0,Rashtriya Jankranti Party,"Rs 65,000 ~ 65 Thou+"
Vallabhbhai Karsanbhai Vaghela,WANKANER,0,Illiterate,131000, 0,IND,"Rs 1,31,000 ~ 1 Lacs+"
Narendra Virabhai Dengada,WANKANER,0,8th Pass,150000, 0,IND,"Rs 1,50,000 ~ 1 Lacs+"
Vikram Sorani,WANKANER,0,8th Pass,450000, 20831,AAP,"Rs 4,50,000 ~ 4 Lacs+"
Jeeteshbhai Rupabhai Santola,WANKANER,0,Graduate,487180, 208250,IND,"Rs 4,87,180 ~ 4 Lacs+"
Bhupendra Kanubhai Sagthiya,WANKANER,0,8th Pass,680000, 0,BSP,"Rs 6,80,000 ~ 6 Lacs+"
Rameshbhai Lavajibhai Dabhi,WANKANER,1,Illiterate,746000, 0,IND,"Rs 7,46,000 ~ 7 Lacs+"
Navinbhai Amrutbhai Vora,WANKANER,0,8th Pass,1148000, 0,IND,"Rs 11,48,000 ~ 11 Lacs+"
Hinaben Pravinbhai Raiyani,WANKANER,0,5th Pass,1739000, 1300000,IND,"Rs 17,39,000 ~ 17 Lacs+"
Mahebubbhai Jamalbhai Piparavaiya,WANKANER,0,8th Pass,5677000, 268000,IND,"Rs 56,77,000 ~ 56 Lacs+"
Mahmadjavid Abdulmutlib Pirzada,WANKANER,0,Graduate Professional,8508513, 16000,INC,"Rs 85,08,513 ~ 85 Lacs+"
Jitendra Kantilal Somani,WANKANER,1,5th Pass,37285320, 0,BJP,"Rs 3,72,85,320 ~ 3 Crore+"
